Country,Happiness,Religion,Family,Trust in people,Life satisfaction,Prohibit immigration,Trust in Press,Unemployment
Argentina,"87,6","33,1","91,4","17,4","22,5",6,"35,3","6,5"
Australia,"91,6","19,2","93,7","45,6","8,1","2,2","11,3","2,9"
Chile,"79,5","39,6","90,2","12,4","15,1","8,3","44,2","7,3"
China,"76,8",5,"78,1","49,3","14,3","5,3","59,6","4,5"
Colombia,"86,9",,,"14,3","37,9",,"43,9","9,6"
Croatia,,,,,,,,
Estonia,,,,,,,,
Finland,92,"17,6","86,7",58,"9,6","2,7","33,2","8,7"
Hungary,"75,6","17,1","86,4","28,7","4,3","11,9","21,1","9,8"
India,"75,3","49,7","90,1","20,7","15,8","22,4",63,"7,7"
Japan,"87,3","5,7","91,3","36,6","4,6","4,2","72,5","1,6"
South Korea,"87,4","21,1","92,3",28,"3,6","4,9","64,2","4,1"
Latvia,,,,,,,,
Lithuania,,,,,,,,
Mexico,"90,7","58,7","94,9","15,4",34,16,"49,1",6
Nigeria,,,,,,,,
Norway,"96,3","10,5",90,"73,7","11,9","1,4",36,"1,2"
Pakistan,,,,,,,,
Peru,"67,4","49,1","81,4","6,2","18,8","5,8","18,3","4,4"
Poland,"87,7","47,2","93,6","18,1","12,6","5,9","35,9","11,4"
Russia,"65,7","13,1",89,"24,6","8,7",,"35,9","5,3"
South Africa,"77,8","69,9","95,6",,"17,4","28,8","57,4",31
Spain,92,"14,8","88,9","19,8","5,8",3,"40,5","4,7"
Sweden,"96,1","9,3","92,1","65,2","11,6","1,1","32,8","2,9"
Switzerland,"93,5","17,2","85,5","51,2","17,1",1,35,"0,9"
Turkey,"86,1","74,6","97,7","4,8","20,6","20,2","30,5","6,1"
Ukraine,"74,6","17,6","86,8","24,5","4,2","6,3","44,2","4,5"
United Kingdom,"93,4","20,7","93,3",30,"10,9",,"13,3","6,9"
United States,"93,2",47,"94,2","39,1","6,7","7,4","23,1","3,7"
Uruguay,"85,9","22,6","89,3","24,6","16,2","3,1","49,5","9,4"
