Country,Happiness,Religion,Family,Trust in people,Life satisfaction,Prohibit immigration,Trust in Press,Unemployment
Argentina,"81,4","46,3","90,2",15,"21,6","9,8","37,3","11,4"
Australia,,,,,,,,
Chile,"79,9","46,3","96,4","22,2","19,2",8,"47,4","6,6"
China,"77,8","2,5","60,2","52,5","14,1","9,2","64,3","4,5"
Colombia,,,,,,,,
Croatia,,,,,,,,
Estonia,,,,,,,,
Finland,,,,,,,,
Hungary,,,,,,,,
India,"72,9","55,8","91,9","38,9","9,4","30,7","59,7","10,8"
Japan,"86,5","6,4","91,3","39,6","4,6",3,"70,2","1,5"
South Korea,"87,7","23,2","89,6","27,3","8,7","4,6","64,9","2,8"
Latvia,,,,,,,,
Lithuania,,,,,,,,
Mexico,91,"67,7","96,6","20,8","43,6","16,2","39,1",4
Nigeria,"91,8","92,8","98,9","25,3","12,2","3,2","62,8","7,9"
Norway,,,,,,,,
Pakistan,"75,6","81,8","92,6","28,2",0,"12,2","45,4","3,7"
Peru,"66,1","52,5","82,4","10,6","14,7","7,7","22,9","11,8"
Poland,,,,,,,,
Russia,,,,,,,,
South Africa,"77,3","69,7","95,2","11,5","14,1","22,2","61,4","30,5"
Spain,87,"21,9","85,4","32,7","10,2","2,4",40,"8,6"
Sweden,"93,4","10,6","89,4","63,7","16,3","0,5","45,4","4,7"
Switzerland,,,,,,,,
Turkey,77,"80,3","97,3","18,6",13,"24,8","34,8","9,8"
Ukraine,,,,,,,,
United Kingdom,,,,,,,,
United States,93,"56,9","95,3","35,5","15,9","3,8","26,6","6,4"
Uruguay,,,,,,,,
